,X,UniqueID,CAS,ChemicalNumber,Chemical,FacilityID,Longitude,Latitude,FacilityName,Street,City,County,State,ZIPCode,ZIP9,FIPS,STFIPS,StackHeight,StackVelocity,StackDiameter,StackTemperature,ChromHexPercent,ModeledNAICS,PoundsReleased_2016,PoundsReleased_2017,PoundsReleased_2018,PoundsReleased_2019,PoundsReleased_2020,PoundsPT_2016,PoundsPT_2017,PoundsPT_2018,PoundsPT_2019,PoundsPT_2020,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,NCScore_2016,NCScore_2017,NCScore_2018,NCScore_2019,NCScore_2020,CScore_2016,CScore_2017,CScore_2018,CScore_2019,CScore_2020,Hazard_2016,Hazard_2017,Hazard_2018,Hazard_2019,Hazard_2020,HazardC_2016,HazardC_2017,HazardC_2018,HazardC_2019,HazardC_2020,HazardNC_2016,HazardNC_2017,HazardNC_2018,HazardNC_2019,HazardNC_2020,population_1km,WhtPercent_1km,NWPercent_1km,HispPercent_1km,BlkPercent_1km,AsianPercent_1km,AmerIndPercent_1km,Under5Percent_1km,ReprodFemPercent_1km,Over64Percent_1km,EduPercent_1km,housing_units_1km,VacPercent_1km,OwnOccPercent_1km,avg_median_income_1km,avg_median_house_value_1km,facility_count_1km,population_5km,WhtPercent_5km,NWPercent_5km,HispPercent_5km,BlkPercent_5km,AsianPercent_5km,AmerIndPercent_5km,Under5Percent_5km,ReprodFemPercent_5km,Over64Percent_5km,EduPercent_5km,housing_units_5km,VacPercent_5km,OwnOccPercent_5km,avg_median_income_5km,avg_median_house_value_5km,facility_count_5km,population_10km,WhtPercent_10km,NWPercent_10km,HispPercent_10km,BlkPercent_10km,AsianPercent_10km,AmerIndPercent_10km,Under5Percent_10km,ReprodFemPercent_10km,Over64Percent_10km,EduPercent_10km,housing_units_10km,VacPercent_10km,OwnOccPercent_10km,avg_median_income_10km,avg_median_house_value_10km,facility_count_10km,GEOID_tract,populationE_tract,WhtPercent_tract,NWPercent_tract,HispPercent_tract,BlkPercent_tract,AsianPercent_tract,AmerIndPercent_tract,Under5Percent_tract,ReprodFemPercent_tract,Over64Percent_tract,EduPercent_tract,housing_unitsE_tract,VacPercent_tract,OwnOccPercent_tract,medincomeE_tract,median_house_valueE_tract,facility_count_tract,GEOID_county,populationE_county,WhtPercent_county,NWPercent_county,HispPercent_county,BlkPercent_county,AsianPercent_county,AmerIndPercent_county,Under5Percent_county,ReprodFemPercent_county,Over64Percent_county,EduPercent_county,housing_unitsE_county,VacPercent_county,OwnOccPercent_county,medincomeE_county,median_house_valueE_county,facility_count_county,geometry, 
722,733,273_37662TNNSSEASTM,123911,273,"1,4-Dioxane",37662TNNSSEASTM,-82.540556,36.519722,EASTMAN CHEMICAL CO TENNESSEE OPERATIONS,100 EASTMAN RD,KINGSPORT,SULLIVAN,TN,37660,37660,47163,47,12.5,12,1.3,305.4,0.34,325211,1863,9168,36234,NA,NA,1862,9168,36234,NA,NA,1825.58219,3827.50264,376220.247,NA,NA,2.849497627,16.33751066,128.566563,NA,NA,1825.58219,3827.50264,376220.247,NA,NA,85422000,215454000,3444722000,NA,NA,85422000,215454000,3444722000,NA,NA,168369,1046655,1385295,NA,NA,309.1992577,0.667695078,0.332304922,0.043022126,0.225628257,0.003746549,0,0.040734487,0.293724838,0.161240829,0.162802447,201.4581904,0.119071677,0.880928323,36758,101200,1,19032.91285,0.913254921,0.086745079,0.017118959,0.045805181,0.008792001,0.001007559,0.044738911,0.210665181,0.264566087,0.146952952,10008.58062,0.108625737,0.891374263,44312.08,141148,2,63997.67674,0.931092971,0.068907029,0.019089249,0.027670722,0.009487126,0.001171072,0.046901681,0.208979534,0.241061616,0.126950963,31965.51723,0.11700065,0.88299935,46917.18644,143722.0339,2,47163040200,2256,0.698138298,0.301861702,0.016843972,0.200797872,0,0,0.019946809,0.25177305,0.184840426,0.216716418,1346,0.132986627,0.867013373,27260,90200,2,47163,157050,0.943540274,0.056459726,0.018962114,0.019528812,0.006838586,0.001292582,0.0492773,0.203865011,0.214918816,0.128426423,75205,0.115604016,0.884395984,46684,141300,4,c(-9188372.66371368, 4372371.99530939)
723,734,273_39520WLLMN3303P,123911,273,"1,4-Dioxane",39520WLLMN3303P,-89.561667,30.233028,DAK AMERICAS MISSISSIPPI INC,3303 PORT & HARBOR DR,BAY SAINT LOUIS,HANCOCK,MS,39520,39520,28045,28,4.6,15,0.2,333.2,0.34,325211,1693.06,1507.53,1505.4,1598.69,1510.27,1693.060066,1507.529999,1505.400008,1598.689975,1510.270063,264.4316325,158.8641212,159.9047485,224.9299811,216.8094372,0.747783239,0.683119021,0.686135038,0.724009118,0.688746858,264.4316325,158.8641212,159.9047485,224.9299811,216.8094372,41432740.25,31160920.53,31131601.05,36946079.14,35092121.76,41432740.25,31160920.53,31131601.05,36946079.14,35092121.76,191541.3884,176632.7704,176367.6003,183175.3902,172842.7895,10.01349217,1,0,0.065217391,0,0,0,0,0.207509881,0.205533597,0.126491647,7.935593601,0.478802993,0.521197007,59980,82200,1,540.363875,0.886851326,0.113148674,0.026995909,0.091096232,0.000164008,0,4.98E-05,0.11382709,0.382386978,0.228393013,375.0860975,0.273009612,0.726990388,55527,125425,2,1414.079823,0.899038336,0.100961664,0.031491884,0.071133355,0.014270489,0,0.004332113,0.16240036,0.323469422,0.189382303,917.0764458,0.242977875,0.757022125,55527,125425,2,28045030400,1531,0.911822338,0.088177662,0.02155454,0.073807969,0,0,0,0.190071848,0.340300457,0.187596899,1074,0.257914339,0.742085661,51837,86300,2,28045,46961,0.875364664,0.124635336,0.038201912,0.080172909,0.005983689,0.005621686,0.055982624,0.205127659,0.197270075,0.125326836,25261,0.206840584,0.793159416,48119,147500,2,c(-9969959.16503673, 3533538.72577715)
724,735,273_40068SFTYK3700L,123911,273,"1,4-Dioxane",40068SFTYK3700L,-85.23487,38.43196,SAFETY-KLEEN SYSTEMS INC,3700 LAGRANGE RD,SMITHFIELD,HENRY,KY,40068,40068,21103,21,18.3,18.8,1.3,422,0.19,562211,NA,NA,NA,NA,32934,NA,NA,NA,NA,32917,NA,NA,NA,NA,5.17837,NA,NA,NA,NA,0.0345225,NA,NA,NA,NA,5.17837,NA,NA,NA,NA,3289650000,NA,NA,NA,NA,3289650000,NA,NA,NA,NA,3950040,36.74695268,0.989523377,0.010476623,0.085309642,0,0,0,0.039619077,0.175759384,0.204878719,0.17034518,16.86881632,0.066477267,0.933522733,55000,152600,1,920.1954862,0.986542611,0.013457389,0.072041364,0.001136998,0.002623309,0,0.042044148,0.178135761,0.19920114,0.165659834,419.3080791,0.064117847,0.935882153,46304,151175,1,5572.588014,0.923923585,0.076076415,0.057400913,0.02021567,0.003405445,0,0.054450566,0.184421363,0.202256623,0.182850187,2435.644934,0.08046097,0.91953903,52170.66667,163166.6667,1,21103090301,2925,0.954871795,0.045128205,0.075555556,0,0,0,0.060512821,0.17025641,0.171965812,0.178298279,1110,0.076576577,0.923423423,65826,187400,1,21103,15911,0.932939476,0.067060524,0.032556093,0.029665012,0.007479103,0,0.059267174,0.206209541,0.17000817,0.14870571,6769,0.107105924,0.892894076,53926,128700,1,c(-9488302.32623087, 4640628.27936418)
725,736,273_40361MLLNCHIGHW,123911,273,"1,4-Dioxane",40361MLLNCHIGHW,-84.2525,38.229722,AVANTOR PERFORMANCE MATERIALS,7001 MARTIN LUTHER KING BLVD,PARIS,BOURBON,KY,40361,40361,21017,21,9.1,9.6,0.5,297,0.25,325199,360,88,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,147.5169917,0.949869319,0.050130681,0.088891573,0.045234111,0,0,0.048247385,0.235713254,0.182597304,0.275772335,64.66001727,0.054996467,0.945003533,56222,130550,1,6395.933989,0.789392663,0.210607337,0.053997094,0.161953839,8.53E-06,0,0.110047436,0.20996201,0.201145394,0.173543271,3131.638697,0.162866932,0.837133068,50391.35714,155028.5714,1,12455.80522,0.873712449,0.126287551,0.048772289,0.099562496,0.000373026,0,0.086249735,0.214108603,0.186925378,0.130092481,5661.069539,0.130414305,0.869585695,54579.38889,173988.8889,1,21017030102,2314,0.757562662,0.242437338,0.11019879,0.136560069,0,0,0.121866897,0.249783924,0.12662057,0.202702703,768,0.083333333,0.916666667,52250,149100,1,21017,20058,0.903779041,0.096220959,0.068002792,0.069847442,0.008076578,0,0.061571443,0.211237412,0.189450593,0.160241821,9064,0.105692851,0.894307149,49637,146700,1,c(-9378945.39806028, 4611928.84844038)
726,737,273_43223GFRDR867MC,123911,273,"1,4-Dioxane",43223GFRDR867MC,-83.02429,39.96292,GFS CHEMICALS INC,851 MCKINLEY AVE,COLUMBUS,FRANKLIN,OH,43222,43222,39049,39,9.1,10.1,0.5,294.3,0.25,325180,NA,140,NA,NA,3377,NA,10,NA,NA,72,NA,42.219,NA,NA,353.9279,NA,0.281459,NA,NA,2.359526,NA,42.219,NA,NA,353.9279,NA,180000,NA,NA,1296000,NA,180000,NA,NA,1296000,NA,1200,NA,NA,8640,1338.25097,0.710560869,0.289439131,0.061796129,0.161721714,0.02481952,0.000728741,0.039308649,0.26585588,0.127170877,0.175419007,654.737571,0.174400283,0.825599717,55856.57143,221325,1,80012.83828,0.73845105,0.26154895,0.073256613,0.13191217,0.039873445,0.001382816,0.03349537,0.328290789,0.083368283,0.111377732,43034.42621,0.115384907,0.884615093,55899.07692,223942.6829,1,302687.6314,0.663572604,0.336427396,0.059575068,0.214397807,0.041693957,0.001832386,0.054606424,0.296355232,0.09897349,0.12564993,139211.5467,0.122226187,0.877773813,57603.27875,194574.6154,3,39049004302,2251,0.494891159,0.505108841,0.351843625,0.186139494,0.015548645,0,0.033762772,0.205686362,0.055530875,0.36693256,802,0.180798005,0.819201995,24975,60800,1,39049,1290360,0.662737531,0.337262469,0.055249698,0.225655631,0.052903841,0.00224046,0.071286308,0.256681081,0.117340122,0.08829773,555090,0.078623286,0.921376714,61305,175100,5,c(-9242221.68627307, 4860555.37709571)
727,738,273_43464WSTMN3956S,123911,273,"1,4-Dioxane",43464WSTMN3956S,-82.98319,41.36826,VICKERY ENVIRONMENTAL INC,3956 STATE RT 412,VICKERY,SANDUSKY,OH,43464,43464,39143,39,9.8,12.2,0.4,725.9,0.19,562211,NA,NA,NA,NA,17418,NA,NA,NA,NA,17418,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1741800000,NA,NA,NA,NA,1741800000,NA,NA,NA,NA,576621,29.40995283,0.941245593,0.058754407,0.190364277,0.011750881,0.025851939,0,0.03172738,0.231492362,0.065804935,0.185393258,10.60970096,0,1,52212,123200,1,893.8692878,0.925566244,0.074433756,0.108372757,0.027773495,0.012903522,0.019292087,0.037998997,0.22715575,0.099210951,0.113429632,354.0162737,0.09724004,0.90275996,58708,125750,1,6720.811427,0.93599143,0.06400857,0.076735665,0.014457504,0.004925545,0.015403334,0.063577016,0.183229221,0.182426227,0.121485794,3052.217152,0.12709862,0.87290138,55274.28571,117930.7692,1,39143960800,3567,0.867115223,0.132884777,0.100084104,0.033922063,0.040370059,0,0.044855621,0.227642276,0.129800953,0.089774557,1641,0.13345521,0.86654479,65119,122500,1,39143,59029,0.911992411,0.088007589,0.099239357,0.029917498,0.003981094,0.002778295,0.055887784,0.203815074,0.184604178,0.096348513,26318,0.104263242,0.895736758,54089,115400,1,c(-9237646.45520147, 5066812.6177659)
728,739,273_43920VNRLL1250S,123911,273,"1,4-Dioxane",43920VNRLL1250S,-80.54632,40.631622,HERITAGE THERMAL SERVICES,1250 ST GEORGE ST,EAST LIVERPOOL,COLUMBIANA,OH,43920,43920,39029,39,35,13.8,1.3,322,0.34,562213,13.2002,0.69,517.17,0.15,24.48,13.2002,0.69,0.17,0.15,24.48,0.163416561,0.1188992,0.1360621,0.11371,0.1665813,0.001089407,0.000792661,0.000907084,0.000758066,0.001110545,0.163416561,0.1188992,0.1360621,0.11371,0.1665813,1303620,55880,3060,2700,2433240,1303620,55880,3060,2700,2433240,1584.0066,82.8,20.4,18,2937.6,899.0326692,0.830277235,0.169722765,0,0.055963813,0.004595309,0,0.041013803,0.213789991,0.110877963,0.187474004,381.2330451,0.13665791,0.86334209,42787,66600,1,14571.7052,0.88792985,0.11207015,0.023010334,0.02591727,0.003279164,0,0.053372695,0.18586297,0.199482474,0.158618779,7767.800289,0.159364065,0.840635935,44854.8,84400,1,27803.52446,0.91979182,0.08020818,0.017724185,0.021652036,0.00215261,0.000449076,0.054289167,0.189807528,0.204549324,0.137875292,14139.92815,0.129380328,0.870619672,48504,99645.16129,2,39029952200,2040,0.804901961,0.195098039,0,0.066666667,0.004411765,0,0.040686275,0.218137255,0.090196078,0.196062992,829,0.141133896,0.858866104,35833,44100,1,39029,103190,0.946942533,0.053057467,0.017763349,0.0204671,0.001918791,0.001443938,0.051613528,0.191016571,0.198342863,0.114681925,46829,0.113006897,0.886993103,48345,109400,1,c(-8966375.32767207, 4958156.89882268)
729,740,273_44044RSSNC36790,123911,273,"1,4-Dioxane",44044RSSNC36790,-82.034722,41.324167,ROSS INCINERATION SERVICES INC,36790 GILES RD,GRAFTON,LORAIN,OH,44044,44044,39093,39,21.9,4.6,2.3,581.8,0.19,562211,NA,NA,NA,88.769,988.33,NA,NA,NA,88.769,988.33,NA,NA,NA,0.0357818,0.00294263,NA,NA,NA,0.000238546,1.96E-05,NA,NA,NA,0.0357818,0.00294263,NA,NA,NA,8872882,98832672,NA,NA,NA,8872882,98832672,NA,NA,NA,10652.28,118599.6,128.2230739,0.989085239,0.010914761,0,0.009355509,0,0,0.018191268,0.196465696,0.319126819,0.11503268,60.84598051,0.039430449,0.960569551,60938,163000,1,8076.294207,0.919715673,0.080284327,0.020191848,0.033216886,0.003802728,0.006144492,0.022461166,0.17647594,0.255150244,0.090476208,3607.204794,0.03633516,0.96366484,74621.85714,179535.7143,1,55992.96864,0.845884021,0.154115979,0.043888982,0.1007398,0.003703435,0.003442074,0.051178537,0.196977748,0.182439802,0.104175438,22848.43342,0.069653045,0.930346955,65197.98,154440,1,39093091100,3477,0.900488927,0.099511073,0.005752085,0.048029911,0.006902502,0.010641357,0.022720736,0.177164222,0.327868852,0.106620209,1823,0.05266045,0.94733955,58862,170300,1,39093,307670,0.850196639,0.149803361,0.099548217,0.085334937,0.011947866,0.003630513,0.056593103,0.211080053,0.177687132,0.103226626,131211,0.083300943,0.916699057,58427,150500,3,c(-9132063.48040776, 5060274.4475786)
730,741,273_4501WTDCMP1TEDI,123911,273,"1,4-Dioxane",4501WTDCMP1TEDI,-84.524167,39.348611,TEDIA CO INC (1409030683),1000 TEDIA WAY,FAIRFIELD,BUTLER,OH,45014,45014,39017,39,8.5,0,0.1,272,0.25,325199,1097,7438,8070,4022,9524,1097,7438,8070,4022,9524,61.30592,259.96883,109.23523,214.9842,99.02631,0.4087061,1.7331255,0.7282369,1.433231,0.6601757,61.30592,259.96883,109.23523,214.9842,99.02631,108388000,738306000,804704000,397690000,950350000,108388000,738306000,804704000,397690000,950350000,131640,892560,968400,482640,1142880,456.1052969,0.880603833,0.119396167,0.651421365,0.012949115,0.005960668,0,0.14266909,0.26355499,0.0660069,0.447000386,155.398171,0.044010879,0.955989121,41083,9999,1,39049.94299,0.746126774,0.253873226,0.096607182,0.135333578,0.032691359,0.000257747,0.075979881,0.231460722,0.147466908,0.09079186,16344.86335,0.066103975,0.933896025,60582.28571,134213.6136,1,147045.823,0.69287032,0.30712968,0.076498752,0.18768854,0.049648865,0.001111479,0.065132163,0.23263696,0.146171729,0.094745916,59938.14413,0.067445206,0.932554794,69118.90977,150452.792,2,39017010906,7401,0.674908796,0.325091204,0.2257803,0.151466018,0.029995946,0,0.099716255,0.235778949,0.13971085,0.163616792,2924,0.033857729,0.966142271,49577,165000,1,39017,380019,0.843876227,0.156123773,0.047139748,0.080488081,0.033622003,0.002720917,0.060986424,0.234693528,0.143695447,0.093699549,151887,0.084101997,0.915898003,66117,172900,2,c(-9409187.23016562, 4771730.84034888)
731,742,273_46135LNSTRPUTNA,123911,273,"1,4-Dioxane",46135LNSTRPUTNA,-86.868632,39.616615,BUZZI UNICEM USA-GREENCASTLE PLANT,3301 S COUNTY RD 150 W,GREENCASTLE,PUTNAM,IN,46135,46135,18133,18,35.5,14.6,1.8,374,0.08,327310,7019,17589,4253.8,7299,2684,7019,17589,4253.8,7299,2684,192.34746,168.39919,168.13414,164.527,34.59659,1.2823131,1.1226612,1.1208976,1.09685,0.2306439,192.34746,168.39919,168.13414,164.527,34.59659,672216000,1732742000,399566400,704890000,262086000,672216000,1732742000,399566400,704890000,262086000,842280,2110680,510456,875880,322080,39.78204465,0.853971963,0.146028037,0.019859813,0,0.078271028,0.001168224,0.031542056,0.136682243,0.21728972,0.010174419,18.91506095,0,1,95350,164900,1,8061.05097,0.893767442,0.106232558,0.036079704,0.021343582,0.061012847,0.001776708,0.037336128,0.329101059,0.131389245,0.104054261,2632.123311,0.075926047,0.924073953,61311.63636,140163.6364,1,16298.59897,0.859794315,0.140205685,0.034666751,0.057551107,0.053436671,0.002333069,0.034686875,0.23163976,0.147427688,0.129068961,5373.104268,0.055397352,0.944602648,60397.35294,153658.8235,1,18133956600,6171,0.833738454,0.166261546,0.039377735,0.116998866,0.011667477,0.001458435,0.023497002,0.116998866,0.106627775,0.15551425,1643,0.062081558,0.937918442,67250,144000,1,18133,37384,0.932083244,0.067916756,0.019286326,0.025545688,0.02498395,0.001497967,0.049834154,0.210598117,0.163786647,0.111326078,15080,0.101923077,0.898076923,61047,128800,2,c(-9670171.88014827, 4810385.22448545)
732,743,273_46320STFFR2000M,123911,273,"1,4-Dioxane",46320STFFR2000M,-87.48067,41.61007,ECO-SERVICES OPERATIONS,2000 MICHIGAN ST,HAMMOND,LAKE,IN,46320,46320,18089,18,17.6,9.6,1.2,382.6,0.25,325180,NA,NA,NA,NA,30.2,NA,NA,NA,NA,30.1,NA,NA,NA,NA,89.80862,NA,NA,NA,NA,0.5987245,NA,NA,NA,NA,89.80862,NA,NA,NA,NA,541800,NA,NA,NA,NA,541800,NA,NA,NA,NA,3612,928.2857644,0.444061386,0.555938614,0.39989127,0.326569312,0.020910139,0,0.069183749,0.264294005,0.096249444,0.164624098,438.7719048,0.142397353,0.857602647,39276.66667,79500,1,58032.64243,0.398726,0.601274,0.462884393,0.26675118,0.009677415,0.003258263,0.061030896,0.24564441,0.112497129,0.205552945,24962.68431,0.152042009,0.847957991,45672.91781,89368.57143,2,185826.3143,0.449213379,0.550786621,0.328909806,0.326189289,0.012859029,0.003335421,0.058158014,0.240881772,0.139212716,0.15792068,80387.62407,0.12456598,0.87543402,53302.34375,113922.746,5,18089030600,4332,0.400738689,0.599261311,0.692059095,0.166204986,0,0.002539243,0.074561404,0.274469067,0.092105263,0.26003028,2130,0.258685446,0.741314554,38073,84200,1,18089,485707,0.619241642,0.380758358,0.189803729,0.236543842,0.014543748,0.002647687,0.060429436,0.22420101,0.160804765,0.113434921,212899,0.122912743,0.877087257,56128,149500,4,c(-9738303.6386544, 5102747.60587208)
733,744,273_47905LLLLYLILLY,123911,273,"1,4-Dioxane",47905LLLLYLILLY,-86.936174,40.390544,EVONIK CORP TIPPECANOE LABORATORIES,1650 LILLY RD,LAFAYETTE,TIPPECANOE,IN,47909,47909,18157,18,33.5,4,1.2,318.7,0.34,325411,14,3,NA,NA,NA,14,3,NA,NA,NA,17.59901,3.431747,NA,NA,NA,0.11732638,0.02287832,NA,NA,NA,17.59901,3.431747,NA,NA,NA,252000,54000,NA,NA,NA,252000,54000,NA,NA,NA,1680,360,NA,NA,NA,112.3416427,0.986151187,0.013848813,0.023078546,0,0.003972763,0,0.060810945,0.187496223,0.139637904,0.058015891,44.4218763,0.089838826,0.910161174,77276,186750,1,13780.89277,0.78987499,0.21012501,0.06110974,0.078988142,0.075632826,0.001229746,0.068119983,0.280419901,0.110400293,0.092975534,5440.186659,0.057728068,0.942271932,59751.63158,150288.2353,1,111926.2586,0.790877013,0.209122987,0.080311092,0.065128961,0.090017624,0.00254787,0.054656713,0.287981714,0.093971258,0.077937226,44404.77196,0.07992341,0.92007659,51675.08861,145426.4706,5,18157010600,5899,0.926936769,0.073063231,0.068825225,0.021359552,0.009323614,0,0.040176301,0.190371249,0.173588744,0.049800797,2221,0.035119316,0.964880684,90094,208300,1,18157,191553,0.814818875,0.185181125,0.083256331,0.053081915,0.081596216,0.002928693,0.059075034,0.266881751,0.11131123,0.083675089,76297,0.075638623,0.924361377,53130,153000,6,c(-9677690.62119543, 4922858.43324099)
734,745,273_50616SLSBR1900R,123911,273,"1,4-Dioxane",50616SLSBR1900R,-92.69217,43.056228,CAMBREX CHARLES CITY INC,1205 11TH ST,CHARLES CITY,FLOYD,IA,50616,50616,19067,19,16.5,13.4,0,308.2,0.34,325411,NA,111267,15510,NA,NA,NA,111017,0,NA,NA,NA,2.25611,0,NA,NA,NA,0.0150407,0,NA,NA,NA,2.25611,0,NA,NA,NA,11100306000,0,NA,NA,NA,11100306000,0,NA,NA,NA,13322040,0,NA,NA,427.4184164,0.984923365,0.015076635,0.100678653,0.010871045,0.002299628,0,0.051856017,0.243147405,0.213429553,0.053224573,154.820116,0.029360968,0.970639032,65758.5,161533.3333,1,4766.592197,0.900270024,0.099729976,0.067760991,0.033426422,0.031209757,0.004318692,0.043669871,0.185495364,0.264833585,0.091828559,2502.388467,0.082640099,0.917359901,50626.33333,121570,1,8541.577083,0.890188496,0.109811504,0.059639248,0.024351475,0.036778452,0.009248877,0.052732928,0.18636563,0.236788702,0.099375349,4261.756004,0.075314422,0.924685578,49986,120708.3333,2,19067480500,4553,0.886448495,0.113551505,0.07840984,0.033823852,0.036239842,0,0.037338019,0.165824731,0.278058423,0.077154008,2318,0.07161346,0.92838654,41778,119900,1,19067,15786,0.939566705,0.060433295,0.032370455,0.01716711,0.016533637,0.006144685,0.054858736,0.1856075,0.217154441,0.099070067,7580,0.089313984,0.910686016,50406,106200,2,c(-10318445.1649235, 5320534.24173895)
735,746,273_53085LDRCH6100H,123911,273,"1,4-Dioxane",53085LDRCH6100H,-87.78147,43.67406,ALDRICH CHEMICAL CO LLC,5485 COUNTY RD V,SHEBOYGAN FALLS,SHEBOYGAN,WI,53085,53085,55117,55,7.9,1,0.3,293.2,0.25,325199,NA,NA,NA,NA,488.6,NA,NA,NA,NA,18.6,NA,NA,NA,NA,6.97469,NA,NA,NA,NA,0.0464979,NA,NA,NA,NA,6.97469,NA,NA,NA,NA,334800,NA,NA,NA,NA,334800,NA,NA,NA,NA,2232,55.47576304,0.940127389,0.059872611,0.092993631,0.040127389,0,0.007643312,0.092993631,0.266242038,0.102547771,0.035750766,22.86166795,0.102009274,0.897990726,83750,237300,1,1469.348009,0.942713953,0.057286047,0.068174858,0.030827095,0.005412243,0.005366819,0.080139858,0.230852799,0.128235021,0.043479148,606.7305676,0.085611002,0.914388998,84271.33333,230666.6667,1,22193.48204,0.883294386,0.116705614,0.055626717,0.01975331,0.054580076,0.0048933,0.051941475,0.19885721,0.185681257,0.039379549,9863.535492,0.035885352,0.964114648,65565,181372.2222,3,55117010800,3421,0.939783689,0.060216311,0.059047062,0.018415668,0.020461853,0.003507746,0.05612394,0.200818474,0.211634025,0.052108194,1474,0.050203528,0.949796472,87386,229300,1,55117,115178,0.887530605,0.112469395,0.063675355,0.019795447,0.057398114,0.002917224,0.055635625,0.201601,0.174668774,0.06833602,51075,0.065335291,0.934664709,60696,159700,5,c(-9771788.54148502, 5415139.98909316)
736,747,273_53233LDRCH230SO,123911,273,"1,4-Dioxane",53233LDRCH230SO,-87.930634,43.030459,SIGMA ALDRICH CO LLC,230 S EMMBER LN,MILWAUKEE,MILWAUKEE,WI,53233,53233,55079,55,15.8,8,0.6,400.9,0.25,325199,NA,NA,8219,NA,NA,NA,NA,8219,NA,NA,NA,NA,223.2236,NA,NA,NA,NA,1.488164,NA,NA,NA,NA,223.2236,NA,NA,NA,NA,815832000,NA,NA,NA,NA,815832000,NA,NA,NA,NA,986280,NA,NA,699.0971474,0.509829657,0.490170343,0.262288453,0.251816022,0.014702604,0.001339982,0.087652456,0.394472846,0.069925667,0.186953493,354.8150404,0.215680325,0.784319675,26749.2,70850,1,137898.3958,0.438727195,0.561272805,0.414169957,0.224833565,0.052929991,0.008260628,0.077746914,0.274250624,0.081948846,0.253655372,60539.43058,0.137942067,0.862057933,37827.96528,129587.3016,2,426752.3521,0.521065141,0.478934859,0.24368368,0.269529196,0.038622714,0.006048266,0.071322163,0.264296649,0.107799207,0.160043511,192852.4312,0.112598349,0.887401651,49250.98405,145080.3783,3,55079186800,1663,0.422730006,0.577269994,0.387853277,0.320505111,0.039687312,0.006013229,0.089597114,0.266386049,0.128683103,0.244710212,892,0.196188341,0.803811659,21569,69300,1,55079,951226,0.591582863,0.408417137,0.150049515,0.264135968,0.043525934,0.005743115,0.069179144,0.246320012,0.132397559,0.117135227,418866,0.087596033,0.912403967,50606,158300,11,c(-9788393.40200971, 5316609.1670798)
737,748,273_53563XXNCH1012T,123911,273,"1,4-Dioxane",53563XXNCH1012T,-88.968889,42.781111,EVONIK  CORP,337 VINCENT ST,MILTON,ROCK,WI,53563,53563,55105,55,12.5,3.3,0.1,294.3,0.34,325613,346,354.7,428,364.62,337.62,329.0000016,251.7000016,83.00000158,5.62000085,1.620000927,9.7976175,9.889710954,9.982671036,3.9838896,1.204169199,0.044044168,0.044402842,0.044767276,0.00452002,0.003570129,9.7976175,9.889710954,9.982671036,3.9838896,1.204169199,32408000.16,24678000.16,7808000.158,511160.085,111160.0927,32408000.16,24678000.16,7808000.158,511160.085,111160.0927,39045.00007,29769.00007,9525.000074,239.399986,107.4000011,156.0943996,0.976115709,0.023884291,0.023884291,0,0,0,0.030336532,0.230265952,0.06142273,0.061751411,67.49602345,0.110433389,0.889566611,71117.5,171650,1,4547.738899,0.938578681,0.061421319,0.027762674,0.017194408,0.001213211,0,0.052668088,0.243699408,0.131854128,0.08259406,1880.860453,0.055156814,0.944843186,74874.14286,208885.7143,1,17093.5313,0.935743438,0.064256562,0.029750549,0.014963119,0.004524458,0,0.053769165,0.217056806,0.143788481,0.052935976,6955.691484,0.060828432,0.939171568,73141.25,212415,1,55105003101,2581,0.989151492,0.010848508,0.010848508,0,0,0,0.034482759,0.21774506,0.091437427,0.054463784,1185,0.106329114,0.893670886,70945,170400,1,55105,162152,0.870541221,0.129458779,0.086998619,0.043681237,0.012722631,0.002577828,0.060745473,0.218948887,0.161200602,0.092391156,69028,0.062134206,0.937865794,57875,146200,1,c(-9903971.41992328, 5278713.83440436)
