FacilityID,FacilityName,Street,City,County,State,ZIPCode,Longitude,Latitude,Chemical,PoundsReleased_2018,PoundsReleased_2019,PoundsReleased_2020,PoundsReleased_2021,PoundsReleased_2022,PoundsReleased_5yr_min,PoundsReleased_5yr_sum,PoundsReleased_5yr_max,Pounds_5yr_perc,Cancer_PoundsReleased_5yr_min,Cancer_PoundsReleased_5yr_sum,Cancer_PoundsReleased_5yr_max,Cancer_Pounds_5yr_perc,Cancer_weighted_5yr_sum,Dev_PoundsReleased_5yr_min,Dev_PoundsReleased_5yr_sum,Dev_PoundsReleased_5yr_max,Dev_Pounds_5yr_perc,Dev_weighted_5yr_sum,Asthma_PoundsReleased_5yr_min,Asthma_PoundsReleased_5yr_sum,Asthma_PoundsReleased_5yr_max,Asthma_Pounds_5yr_perc,Asthma_weighted_5yr_sum,population_10km,WhtPercent_10km,NWPercent_10km,HispPercent_10km,BlkPercent_10km,AsianPercent_10km,AmerIndPercent_10km,Under5Percent_10km,ReprodFemPercent_10km,Over64Percent_10km,EduPercent_10km,housing_units_10km,VacPercent_10km,OwnOccPercent_10km,avg_median_income_10km,avg_median_house_value_10km,population_county,WhtPercent_county,NWPercent_county,HispPercent_county,BlkPercent_county,AsianPercent_county,AmerIndPercent_county,Under5Percent_county,ReprodFemPercent_county,Over64Percent_county,EduPercent_county,housing_units_county,VacPercent_county,OwnOccPercent_county,avg_median_income_county,avg_median_house_value_county,WhtPercent_change,NWPercent_change,HispPercent_change,BlkPercent_change,AsianPercent_change,AmerIndPercent_change,Under5Percent_change,ReprodFemPercent_change,Over64Percent_change,EduPercent_change,NAICS,10km_Pounds_sum,10km_Pounds_min,10km_Pounds_max,10km_Cancer_Pounds_sum,10km_Cancer_Pounds_min,10km_Cancer_Pounds_max,10km_Dev_Pounds_sum,10km_Dev_Pounds_min,10km_Dev_Pounds_max,10km_Asthma_Pounds_sum,10km_Asthma_Pounds_min,10km_Asthma_Pounds_max,10km_facnum,Health_Risk_Count
01331LSSTR121CR,LS STARRETT CO,121 CRESCENT ST,ATHOL,WORCESTER,MA,1331,-72.226707,42.595325,Trichloroethylene,12671,17101,9071,10537,7513,7513,56893,17101,59.25289824,7513,56893,17101,67.02447402,56893,7513,56893,17101,80.20609704,34135.8,0,0,0,0,0,17105.65054,0.936070213,0.063929787,0.054188423,0.010910835,0.007108187,0.001073037,0.05935483,0.222325177,0.192141997,0.098750659,7552.860379,0.112186531,0.887813469,64163.72222,186989.4737,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,13.86532618,-64.06715146,-54.04590738,-78.30078259,-85.89089691,-49.82853879,10.71590425,-1.727007815,22.63462707,13.33980143,Cutting Tool and Machine Tool Accessory Manufacturing,56913,7517,17105,56913,7517,17105,56913,7517,17105,0,0,0,1,2
01420THDRB119AU,OMNOVA SOLUTIONS,83 & 119 AUTHORITY DR,FITCHBURG,WORCESTER,MA,1420,-71.84844,42.552185,Acrylonitrile,12,10,6,6,6,6,40,12,3.649635036,6,40,12,20.26620867,24,6,40,12,52.72649206,24,0,0,0,0,0,52218.69802,0.786956009,0.213043991,0.245534788,0.06163238,0.017258319,0.002819976,0.060615926,0.233245803,0.149732213,0.107524997,22381.04125,0.077771927,0.922228073,68773.71698,242979.6296,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,-4.273203679,19.74508091,108.223969,22.57305227,-65.74381039,31.85223922,13.0682544,3.100167477,-4.433417286,23.41043513,Plastics Material and Resin Manufacturing,1886211.94,311439.04,443447.79,1867661.9,309384,438423.8,40,6,12,18550,2055,5024,1,2
01432PHRMC25PAT,VERANOVA L.P.,25 PATTON RD,DEVENS,WORCESTER,MA,1434,-71.625768,42.528806,Dichloromethane (Methylene chloride),361795.21,426697.9,309378.04,331339,438411.79,309378.04,1867621.94,438411.79,94.7617003,309378,1867621.9,438411.8,96.2644912,1494097.52,0,0,0,0,0,0,0,0,0,0,24834.12384,0.836799753,0.163200247,0.076074061,0.06236121,0.039170467,0.001555966,0.04425791,0.164743096,0.157084484,0.069985787,8843.752583,0.039948704,0.960051296,119242.9643,417521.4286,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,1.789882329,-8.270462644,-35.48595275,24.02253213,-22.25019159,-27.24844729,-17.44472104,-27.17965073,0.259169719,-19.67471119,Pharmaceutical Preparation Manufacturing,1901104.44,342826.54,471866.29,1867661.9,309384,438423.8,33482.5,33448.5,33454.5,0,0,0,0,1
01473DVNCC42DEP,ADVANCE COATINGS CO,42 DEPOT RD,WESTMINSTER,WORCESTER,MA,1473,-71.869697,42.552405,Phthalic anhydride,2055,4215,4217,3039,5024,2055,18550,5024,36.96865608,0,0,0,0,0,0,0,0,0,0,2055,18550,5024,70.54529841,8627.906977,38338.13313,0.792487879,0.207512121,0.239214717,0.055056178,0.016552834,0.002015397,0.057342871,0.218353767,0.159723546,0.108937716,16497.67126,0.074747271,0.925252729,71591.39024,239019.5122,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,-3.600296737,16.63579733,102.8642789,9.494454461,-67.14413346,-5.767067596,6.962951243,-3.482464836,1.943551308,25.03186512,Paint and Coating Manufacturing,18590,2061,5036,40,6,12,40,6,12,18550,2055,5024,1,1
01527LWCTT86PRO,LEWCOTT CORP D/B/A BARRDAY COMPOSITE SOLUTIONS,86 PROVIDENCE RD,MILLBURY,WORCESTER,MA,1527,-71.74419,42.18568,Formaldehyde,911,872,687,767,856,687,4093,911,18.97810219,687,4093,911,33.14727351,4093,0,0,0,0,0,687,4093,911,60.71275225,4102.331964,62685.98763,0.802989722,0.197010278,0.081649739,0.072709754,0.053779304,0.000423728,0.053126669,0.230287994,0.152004801,0.074653241,25896.72995,0.057166645,0.942833355,85199.9,309094,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,-2.322832895,10.73305344,-30.75754054,44.60347741,6.747017606,-80.18795674,-0.901625654,1.792745984,-2.982937753,-14.3177013,Plastics Material and Resin Manufacturing,1130122.4,148866,307444,4640,943,1202,1126029.4,148179,306533,4093,687,911,0,2
01570SHLDPPETER,SHIELD PACKAGING CO INC,50 OXFORD AVE,DUDLEY,WORCESTER,MA,1571,-71.881367,42.05404,Tetrachloroethylene,256,291,#NUM!,#NUM!,#NUM!,256,547,291,11.80764277,256,547,291,27.26492057,437.6,256,547,291,58.22241305,328.2,0,0,0,0,0,40047.03019,0.885486893,0.114513107,0.083836152,0.028264362,0.014444058,0.000559094,0.047082111,0.234031254,0.165787962,0.084167108,16597.43449,0.083538918,0.916461082,74138.13514,273739.4737,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,7.712276711,-35.63591606,-28.90336881,-43.78849045,-71.32986189,-73.85872451,-12.17667557,3.447355242,5.814164756,-3.398281864,Polish and Other Sanitation Good Manufacturing,144711,19840,55416,4640,943,1202,140618,19153,54505,4093,687,911,0,2
01581MCRNS125FL,GVS N.A.,125 FLANDERS RD,WESTBOROUGH,WORCESTER,MA,1581,-71.573889,42.275272,N-Methyl-2-pyrrolidone,149501,93993,105339,127624,132939,93993,609396,149501,90.42507514,0,0,0,0,0,93993,609396,149501,94.67582653,487516.8,0,0,0,0,0,54228.77516,0.74489363,0.25510637,0.054206242,0.03668929,0.168368313,0.002452572,0.069595381,0.232444435,0.12857943,0.038750859,20562.76916,0.04010385,0.95989615,139192.3269,499958.4906,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,-9.38974991,43.38697277,-54.03079555,-27.03318747,234.1957585,14.67371489,29.81783434,2.745944074,-17.93418068,-55.52419954,All Other Plastics Product Manufacturing,1228104.9,169394.5,346628.5,10593,687,3093,1217511.9,168171.5,345717.5,10593,687,3093,3,1
01581MRSHMNEAME,CYTIVA,14 WALKUP DR,WESTBOROUGH,WORCESTER,MA,1581,-71.567257,42.273442,N-Methyl-2-pyrrolidone,53930,66918.4,94380,156741,144117,53930,516086.4,156741,90.59682267,0,0,0,0,0,53930,516086.4,156741,94.80463718,412869.12,0,0,0,0,0,53413.401,0.747314934,0.252685066,0.052731053,0.037251914,0.167795719,0.002467266,0.069413415,0.233029809,0.128257505,0.039096116,20242.94928,0.040341892,0.959658108,140947.6327,504564,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,-9.095218029,42.02603698,-55.28181913,-25.91425432,233.0592127,15.36075422,29.47840905,3.004692977,-18.13964929,-55.12793466,All Other Miscellaneous General Purpose Machinery Manufacturing,1228104.9,169394.5,346628.5,10593,687,3093,1217511.9,168171.5,345717.5,10593,687,3093,3,1
01720THHRT87HAY,HAARTZ CORP,87 HAYWARD RD,ACTON,MIDDLESEX,MA,1720,-71.457142,42.481123,N-Methyl-2-pyrrolidone,13194,#NUM!,#NUM!,#NUM!,#NUM!,13194,13194,13194,53.06998712,0,0,0,0,0,13194,13194,13194,77.37226277,10555.2,0,0,0,0,0,62719.3064,0.767052585,0.232947415,0.045812526,0.034672432,0.137270468,0.000608622,0.05376302,0.2151237,0.153368774,0.038999358,24085.26609,0.045773488,0.954226512,144754.9804,633234.6346,1605899,0.752374215,0.247625785,0.080523744,0.052699454,0.124523398,0.002006976,0.053289155,0.241704491,0.152894422,0.063462463,641278,0.045889614,0.954110386,106202,540300,1.950940082,-5.927642048,-43.10681053,-34.20722628,10.236687,-69.67466507,0.889234019,-10.9972267,0.310247757,-38.54736176,Motor Vehicle Seating and Interior Trim Manufacturing,3542177.25,596326.35,869970.29,3436953.7,562347.8,819482.8,1668055.3,286412.3,431558.5,6500,0,2182,0,1
0173WNTGRS9CRSB,ENTEGRIS INC,9 CROSBY DR,BEDFORD,MIDDLESEX,MA,1730,-71.241603,42.506069,Di(2-ethylhexyl) phthalate,262461,252969.81,360285,308227,378889,252969.81,1562831.81,378889,94.28939459,252969.8,1562831.8,378889,95.96393302,937699.08,252969.8,1562831.8,378889,96.95148132,1562831.8,0,0,0,0,0,117908.4146,0.763004696,0.236995304,0.032432091,0.033216658,0.152837768,0.000759869,0.053933321,0.213242595,0.178777846,0.042561233,44857.62863,0.033413007,0.966586993,135552.3034,635029.2247,1605899,0.752374215,0.247625785,0.080523744,0.052699454,0.124523398,0.002006976,0.053289155,0.241704491,0.152894422,0.063462463,641278,0.045889614,0.954110386,106202,540300,1.412924579,-4.292961748,-59.7235681,-36.96963511,22.73819277,-62.13860409,1.208814124,-11.77549333,16.92895242,-32.93479134,All Other Plastics Product Manufacturing,9096140.35,1215174.02,2253153.71,2164458.3,353775.8,536772.62,8590005.78,1132413.01,2119871.04,0,0,0,7,2
01752SHPLY455FO,ROHM & HAAS ELECTRONIC MATERIALS LLC,455 FOREST ST,MARLBOROUGH,MIDDLESEX,MA,1752,-71.591577,42.331661,"Formaldehyde, N-Methyl-2-pyrrolidone",19227,11809,14199,13698,12848,536,78281,19227,62.17260627,0,6500,2182,39.45899528,6500,0,71781,19227,81.40832976,57424.8,0,6500,2182,64.40532417,6514.819879,75505.00684,0.776126726,0.223873274,0.098443569,0.033421722,0.0889392,0.002139851,0.060783992,0.234838404,0.157823517,0.076181384,31357.16118,0.057423472,0.942576528,109633.8305,416437.7049,1605899,0.752374215,0.247625785,0.080523744,0.052699454,0.124523398,0.002006976,0.053289155,0.241704491,0.152894422,0.063462463,641278,0.045889614,0.954110386,106202,540300,3.15700753,-9.592099086,22.25408794,-36.58051456,-28.57631444,6.620664764,14.06447094,-2.840694704,3.223854836,20.04164447,All Other Miscellaneous Chemical Product and Preparation Manufacturing,1237205.9,181901.5,358911.5,6500,0,2182,1230705.9,181365.5,358911.5,6500,0,2182,3,3
0175WSRTRS45DNA,SARTORIUS STEDIM 450 DLB,450 DONALD LYNCH BLVD - STE A & B,MARLBOROUGH,MIDDLESEX,MA,1752,-71.606511,42.358225,N-Methyl-2-pyrrolidone,#NUM!,#NUM!,#NUM!,#NUM!,20248.5,20248.5,20248.5,20248.5,63.3319021,0,0,0,0,0,20248.5,20248.5,20248.5,82.09531988,16198.8,0,0,0,0,0,70901.58158,0.820178449,0.179821551,0.098030219,0.030862475,0.054738391,0.000741543,0.056995375,0.231304322,0.161213942,0.081398695,29209.03233,0.050823559,0.949176441,111485.8909,406508.9286,1605899,0.752374215,0.247625785,0.080523744,0.052699454,0.124523398,0.002006976,0.053289155,0.241704491,0.152894422,0.063462463,641278,0.045889614,0.954110386,106202,540300,9.012035829,-27.38173407,21.74076131,-41.43682104,-56.04168239,-63.0517119,6.95492402,-4.302844597,5.441349509,28.26274178,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",3104827.84,491279.54,797323.29,1874121.9,309378,440593.8,1230705.9,181365.5,358911.5,6500,0,2182,3,1
01801FRNCR324NE,FRAEN MACHINING CORP,324 NEW BOSTON ST,WOBURN,MIDDLESEX,MA,1801,-71.14812,42.52455,Tetrachloroethylene,3377,5867,#NUM!,#NUM!,#NUM!,3377,9244,5867,38.60025762,3377,9244,5867,49.42035208,7395.2,3377,9244,5867,71.61872048,5546.4,0,0,0,0,0,164365.8577,0.841331041,0.158668959,0.035365741,0.027128921,0.086453786,0.000426929,0.061616402,0.212106145,0.177317894,0.040940407,64648.97239,0.035478084,0.964521916,118369.218,549123.913,1605899,0.752374215,0.247625785,0.080523744,0.052699454,0.124523398,0.002006976,0.053289155,0.241704491,0.152894422,0.063462463,641278,0.045889614,0.954110386,106202,540300,11.82348142,-35.92389447,-56.08035709,-48.52143766,-30.57225571,-78.7277314,15.62653258,-12.24567465,15.97407605,-35.48878257,Precision Turned Product Manufacturing,9098534.55,1202101.02,2247829.91,2164468.3,353785.8,536782.62,8592399.98,1119340.01,2114547.24,0,0,0,7,2
01801LPHND20SYL,SKYWORKS SOLUTIONS INC,20 SYLVAN RD,WOBURN,MIDDLESEX,MA,1801,-71.16311,42.49891,N-Methyl-2-pyrrolidone,475754,351998,359390,517628,28473,28473,1733243,517628,95.27694289,0,0,0,0,0,28473,1733243,517628,97.59553456,1386594.4,0,0,0,0,0,174270.5309,0.81273233,0.18726767,0.034610014,0.02647674,0.113247642,0.001136409,0.059166924,0.209969636,0.184971338,0.038083658,68274.90534,0.035148435,0.964851565,131569.1221,621528.8889,1605899,0.752374215,0.247625785,0.080523744,0.052699454,0.124523398,0.002006976,0.053289155,0.241704491,0.152894422,0.063462463,641278,0.045889614,0.954110386,106202,540300,8.022352948,-24.37472944,-57.01887147,-49.75898497,-9.055130218,-43.37703546,11.02995398,-13.1296089,20.97978173,-39.99026149,Semiconductor and Related Device Manufacturing,9098534.55,1202101.02,2247829.91,2164468.3,353785.8,536782.62,8592399.98,1119340.01,2114547.24,0,0,0,7,1
